Time,auto_buffer_in_a_bits_address[31:0],auto_buffer_in_a_bits_corrupt,auto_buffer_in_a_bits_data[31:0],auto_buffer_in_a_bits_mask[3:0],auto_buffer_in_a_bits_opcode[2:0],auto_buffer_in_a_bits_param[2:0],auto_buffer_in_a_bits_size[2:0],auto_buffer_in_a_bits_source[4:0],auto_buffer_in_a_valid,auto_buffer_in_d_ready,auto_buffer_out_a_ready,auto_buffer_out_d_bits_corrupt,auto_buffer_out_d_bits_data[31:0],auto_buffer_out_d_bits_denied,auto_buffer_out_d_bits_opcode[2:0],auto_buffer_out_d_bits_param[1:0],auto_buffer_out_d_bits_sink,auto_buffer_out_d_bits_size[3:0],auto_buffer_out_d_bits_source,auto_buffer_out_d_valid,auto_hartid_in,auto_int_local_in_0_0,auto_int_local_in_1_0,auto_int_local_in_1_1,auto_int_local_in_2_0,reset
0,00000000000000000000000000000000,0,00000000000000000000000000000000,1111,011,010,100,00000,0,0,0,0,00000000000000000000000000000000,0,001,00,0,0001,1,1,0,0,0,0,0,1
10,00000000000000000000000000000000,0,00000000000000000000000000000000,1111,011,010,100,00000,1,0,0,0,00000000000000000000000000000000,0,011,00,0,0011,0,1,0,1,0,0,0,0
20,00000000000000000000000000000000,0,00000000000000000000000000000000,0000,000,011,000,00000,1,0,0,0,00000000000000000000000000000000,0,001,00,0,1101,0,1,0,0,0,0,0,0
